កករចិត្ត	កករ-ចិត្ត
ចិត្តចង្អៀត	ចិត្ត-ចង្អៀត
ចិត្តចោរ	ចិត្ត-ចោរ
ចិត្តច្រើន	ចិត្ត-ច្រើន
ចិត្តជា	ចិត្ត-ជា
ចិត្តជាទេវទត្តមាត់ជាទេវតា	ចិត្ត-ជា-ទេវទត្ត-មាត់-ជា-ទេវតា
ចិត្តដាច់	ចិត្ត-ដាច់
ចិត្តទស្សនវិជ្ជា	ចិត្ត-ទស្សនវិជ្ជា
ចិត្តទូលាយ	ចិត្ត-ទូលាយ
ចិត្តធំ	ចិត្ត-ធំ
ចិត្តធ្ងន់	ចិត្ត-ធ្ងន់
ចិត្តពាល	ចិត្ត-ពាល
ចិត្តព្យាបាល	ចិត្ត-ព្យាបាល
ចិត្តព្រែក	ចិត្ត-ព្រែក
ចិត្តព្រះ	ចិត្ត-ព្រះ
ចិត្តមច្ឆេរមិច្ឆា	ចិត្ត-មច្ឆេរ-មិច្ឆា
ចិត្តមុត	ចិត្ត-មុត
ចិត្តរាក់	ចិត្ត-រាក់
ចិត្តរឹល	ចិត្ត-រឹល
ចិត្តរួញ	ចិត្ត-រួញ
ចិត្តរំជួល	ចិត្ត-រំជួល
ចិត្តរំភើប	ចិត្ត-រំភើប
ចិត្តល្អៀង	ចិត្ត-ល្អៀង
ចិត្តវិជ្ជា	ចិត្ត-វិជ្ជា
ចិត្តវិទ្យា	ចិត្ត-វិទ្យា
ចិត្តវិវេក	ចិត្ត-វិវេក
ចិត្តសង្ខារ	ចិត្ត-សង្ខារ
ចិត្តសមុដ្ឋាន	ចិត្ត-សមុដ្ឋាន
ចិត្តសាមាន្យ	ចិត្ត-សាមាន្យ
ចិត្តសាស្ត្រ	ចិត្ត-សាស្ត្រ
ចិត្តសោមនស្ស	ចិត្ត-សោមនស្ស
ចិត្តស្ងប់	ចិត្ត-ស្ងប់
ចិត្តស្រាល	ចិត្ត-ស្រាល
ចិត្តស្លុយ	ចិត្ត-ស្លុយ
ចិត្តហានក្លា	ចិត្ត-ហានក្លា
ចិត្តហេងហាង	ចិត្ត-ហេងហាង
ចិត្តអន្យតិរ្ថិយ	ចិត្ត-អន្យតិរ្ថិយ
ចិត្តអប្រិយ	ចិត្ត-អប្រិយ
ចិត្ត—	ចិត្ត-—
ចិត្រករ	ចិត្រ-ករ
ចិត្រការ្យ	ចិត្រ-ការ្យ
ចិត្របដ	ចិត្រ-ប-ដ
ចិត្រមូលភ្លើង	ចិត្រ-មូល-ភ្លើង
ចិត្រវិទ្យា	ចិត្រ-វិទ្យា
ចិន្តនាការ	ចិន្ត-នា-ការ
ចិន្តាមណី	ចិន្តា-មណី
ចិរស្សការ	ចិរស្ស-ការ
ចីរកាល	ចីរ-កាល
ចីរភាព	ចីរ-ភាព
ចីវរកាល	ចីវរ-កាល
ចីវរទាន	ចីវរ-ទាន
ចីវរលាភ	ចីវរ-លាភ
ចឺងគ្រឹមៗ	ចឺងគ្រឹម-ៗ
ចុកចាប់	ចុក-ចាប់
ចុកពោះ	ចុក-ពោះ
ចុករួយ	ចុក-រួយ
ចុកសៀត	ចុក-សៀត
ចុងកាត់មាត់ញក	ចុងកាត់-មាត់ញក
ចុងកាល់	ចុង-កាល់
ចុងកុល	ចុង-កុល
ចុងក្រោយ	ចុង-ក្រោយ
ចុងគល់	ចុង-គល់
ចុងចួន	ចុង-ចួន
ចុងចោទ	ចុង-ចោទ
ចុងដួច	ចុង-ដួច
ចុងដៃចុងជើង	ចុងដៃ-ចុងជើង
ចុងបញ្ចប់	ចុង-បញ្ចប់
ចុងប៉ូច	ចុង-ប៉ូច
ចុងមាត់	ចុង-មាត់
ចុងមាត់ចុងក	ចុងមាត់-ចុង-ក
ចុងសប្ដាហ៍	ចុង-សប្ដាហ៍
ចុងអង្ករ	ចុង-អង្ករ
ចុងអំបុក	ចុង-អំបុក
ចុចផ្ទួន	ចុច-ផ្ទួន
ចុណ្ណភាគ	ចុណ្ណ-ភាគ
ចុតហ្មាយ	ចុត-ហ្មាយ
ចុតហ្មាយហេតុ	ចុតហ្មាយ-ហេតុ
ចុម្ពិតកម្ម	ចុម្ពិត-កម្ម
ចុម្ពិតពល	ចុម្ពិត-ពល
ចុម្ពិតភាព	ចុម្ពិត-ភាព
ចុម្ពិតមាត្រ	ចុម្ពិត-មាត្រ
ចុម្ពិតមាត្រវិធី	ចុម្ពិតមាត្រ-វិធី
ចុម្ពិតអគ្គិសនី	ចុម្ពិត-អគ្គិសនី
ចុល្លធនុគ្គហបណ្ឌិត	ចុល្លធនុគ្គហ-បណ្ឌិត
ចុល្លព្រឹក្ស	ចុល្ល-ព្រឹក្ស
ចុល្លភាព	ចុល្ល-ភាព
ចុល្លរដ្ឋ	ចុល្ល-រដ្ឋ
ចុល្លលិខិត	ចុល្ល-លិខិត
ចុល្លវាបី	ចុល្ល-វា-បី
ចុល្លសករាជ	ចុល្ល-សករាជ
ចុះចាញ់	ចុះ-ចាញ់
ចុះចិត្ត	ចុះ-ចិត្ត
ចុះចូល	ចុះ-ចូល
ចុះជាប់	ចុះ-ជាប់
ចុះតម្លៃ	ចុះ-តម្លៃ
ចុះបញ្ជិកា	ចុះ-បញ្ជិកា
ចុះបញ្ជី	ចុះ-បញ្ជី
ចុះប្រេង	ចុះ-ប្រេង
ចុះរាក	ចុះ-រាក
ចុះសម្រុង	ចុះ-សម្រុង
ចុះសោហ៊ុយ	ចុះ-សោហ៊ុយ
ចុះហត្ថលេខាខ្វាក់	ចុះហត្ថលេខា-ខ្វាក់
ចុះហត្ថលេខាធ្មេចភ្នែក	ចុះហត្ថលេខា-ធ្មេចភ្នែក
ចុះឡើង	ចុះ-ឡើង
ចូកកំពឹស	ចូក-កំពឹស
ចូលខ្យល់	ចូល-ខ្យល់
ចូលខ្លួន	ចូល-ខ្លួន
ចូលចិត្ត	ចូល-ចិត្ត
ចូលចំណោម	ចូល-ចំណោម
ចូលឆ្នាំ	ចូល-ឆ្នាំ
ចូលជួរ	ចូល-ជួរ
ចូលដៃចូលជើង	ចូលដៃ-ចូល-ជើង
ចូលបុណ្យ	ចូល-បុណ្យ
ចូលរួម	ចូល-រួម
ចូលវស្សា	ចូល-វស្សា
ចូលសញ្ជាតិ	ចូល-សញ្ជាតិ
ចូលហ៊ុន	ចូល-ហ៊ុន
ចូឡាកន្តមង្គល	ចូឡាកន្ត-មង្គល
ចូឡាក័ន្ត	ចូឡា-ក័ន្ត
ចូឡាមណី	ចូឡា-មណី
ចួនកាល	ចួន-កាល
ចួនក្រែង	ចួន-ក្រែង
ចើកតាងខ្ទើយ	ចើក-តាង-ខ្ទើយ
ចើងម៉ើង	ចើង-ម៉ើង
ចើងម៉ើងចើងគ្រឹម	ចើងម៉ើង-ចើង-គ្រឹម
ចើសផ្ទៃ	ចើស-ផ្ទៃ
ចៀនចួន	ចៀន-ចួន
ចៀមជាំ	ចៀម-ជាំ
ចេកខ្ទិះ	ចេក-ខ្ទិះ
ចេកចៀន	ចេក-ចៀន
ចេកទុំ	ចេក-ទុំ
ចេកទេស	ចេក-ទេស
ចេកបុក	ចេក-បុក
ចេកអាំង	ចេក-អាំង
ចេចចាច	ចេច-ចាច
ចេចចូច	ចេ-ចចូច
ចេញចាកកាម	ចេញ-ចាក-កាម
ចេញចូល	ចេញ-ចូល
ចេញថ្លៃ	ចេញ-ថ្លៃ
ចេញផ្សាយ	ចេញ-ផ្សាយ
ចេញមុខ	ចេញ-មុខ
ចេញមុខចេញមាត់	ចេញមុខ-ចេញ-មាត់
ចេញលេង	ចេញ-លេង
ចេញវស្សា	ចេញ-វស្សា
ចេតនាកម្ម	ចេតនា-កម្ម
ចេតនារូបារម្មណ៍	ចេតនា-រូបារម្មណ៍
ចេតបុត្រ	ចេត-បុត្រ
ចេតោនិយម	ចេ-តោ-និយម
ចេរវិល	ចេរ-វិល
ចេរវិលវឹង	ចេរវិល-វឹង
ចេលកជន	ចេ-លក-ជន
ចេស្ដា	ចេ-ស្ដា
ចេះដប់ពុំស្មើនឹងប្រសប់មួយ	ចេះ-ដប់-ពុំ-ស្មើនឹង-ប្រសប់-មួយ
ចេះរបេះក្បាច់	ចេះ-របេះក្បាច់
ចេះសំកោកសំកាំង	ចេះ-សំកោកសំកាំង
ចេះហួស	ចេះ-ហួស
ចេះហួសគេ	ចេះហួស-គេ
ចេះអត្ថប្រែ	ចេះ-អត្ថ-ប្រែ
ចែកចាយ	ចែក-ចាយ
ចែកឋាន	ចែក-ឋាន
ចែកប៉ាន់	ចែក-ប៉ាន់
ចែកផ្លូវគ្នា	ចែកផ្លូវ-គ្នា
ចែកផ្សាយ	ចែក-ផ្សាយ
ចែកមុខ	ចែក-មុខ
ចែកមុខបាទគ្នា	ចែក-មុខបាទ-គ្នា
ចែករលែក	ចែក-រលែក
ចែករំលែក	ចែក-រំលែក
ចែកាច់	ចែ-កាច់
ចែងចាំង	ចែង-ចាំង
ចែងថ្ងៃ	ចែង-ថ្ងៃ
ចែងម៉ែង	ចែង-ម៉ែង
ចែងវ៉ែង	ចែង-វ៉ែង
ចែប៉ប្រែ	ចែប៉-ប្រែ
ចៃដន្យនិយម	ចៃដន្យ-និយម
ចោងហោង	ចោង-ហោង
ចោទប្រកាន់	ចោទ-ប្រកាន់
ចោមពុង	ចោម-ពុង
ចោមព័ទ្ធ	ចោម-ព័ទ្ធ
ចោមរោម	ចោម-រោម
ចោរកណ្ដកា	ចោរ-កណ្ដកា
ចោរកណ្ដកៈ	ចោរ-កណ្ដកៈ
ចោរកន្តារ	ចោរ-កន្តារ
ចោរកម្ម	ចោរ-កម្ម
ចោរឃាត	ចោរ-ឃាត
ចោរឃាតកម្ម	ចោរ-ឃាតកម្ម
ចោរឃាតកៈ	ចោរ-ឃាតកៈ
ចោរឃាតក៍	ចោរ-ឃាតក៍
ចោរប្លន់	ចោរ-ប្លន់
ចោរព្រៃ	ចោរ-ព្រៃ
ចោរម័ទ	ចោរ-ម័ទ
ចោរសព្ទ	ចោរ-សព្ទ
ចោរហារយ	ចោរ-ហារយ
ចោលកន្ទុយភ្នែក	ចោល-កន្ទុយភ្នែក
ចោលម្សៀត	ចោល-ម្សៀត
ចោលម្សៀត!	ចោលម្សៀត-!
ចៅក្រម	ចៅ-ក្រម
ចៅក្រមស៊ើបសួរ	ចៅក្រម-ស៊ើបសួរ
ចៅហ្វាយ	ចៅ-ហ្វា-យ
ចៅហ្វាយស្រុក	ចៅហ្វាយ-ស្រុក
ចៅអធិការ	ចៅ-អធិការ
ចៅអាវាស	ចៅ-អាវាស
ចំណងជើង	ចំណង-ជើង
ចំណងជើងរង	ចំណងជើង-រង
ចំណងដៃ	ចំណង-ដៃ
ចំណាកប្រទេស	ចំណាក-ប្រទេស
ចំណាកស្រុក	ចំណាក-ស្រុក
ចំណាត់ថ្នាក់	ចំណាត់-ថ្នាក់
ចំណាប់ខ្មាំង	ចំណាប់-ខ្មាំង
ចំណាប់ចំនួន	ចំណាប់-ចំនួន
ចំណាប់អារម្មណ៍	ចំណាប់-អារម្មណ៍
ចំណាយចរន្ត	ចំណាយ-ចរន្ត
ចំណាស់	ចំ-ណាស់
ចំណាំង	ចំណាំ-ង
ចំណាំងឈើ	ចំណាំង-ឈើ
ចំណាំតែ	ចំណាំ-តែ
ចំណីចំពើបមាត់	ចំណីចំពើប-មាត់
ចំណីផ្លូវ	ចំណី-ផ្លូវ
ចំណីល្អកុំទុកស្អែក	ចំណី-ល្អ-កុំ-ទុកស្អែក
ចំណីអាហារ	ចំណី-អាហារ
ចំណុចក្បៀស	ចំណុច-ក្បៀស
ចំណុចខ្វាក់	ចំណុច-ខ្វាក់
ចំណុចចិត្ត	ចំណុច-ចិត្ត
ចំណូលចរន្ត	ចំណូល-ចរន្ត
ចំណូលថ្មី	ចំណូល-ថ្មី
ចំណូលស្រុក	ចំណូល-ស្រុក
ចំណេញវស្សា	ចំណេញ-វស្សា
ចំណេះមិនស៊ីគ្នាទេ	ចំណេះ-មិនស៊ីគ្នា-ទេ
ចំណេះរឹល	ចំណេះ-រឹល
ចំណេះអន់	ចំណេះ-អន់
ចំណេះឯក	ចំណេះ-ឯក
ចំណោលកោន	ចំណោល-កោន
ចំណោលជនបទ	ចំណោល-ជនបទ
ចំណោលប្រជាជន	ចំណោល-ប្រជាជន
ចំណោលផែនទីសាស្ត្រ	ចំណោល-ផែនទី-សាស្ត្រ
ចំណោលស៊ីឡាំង	ចំណោល-ស៊ីឡាំង
ចំណោលអាស៊ីមុត	ចំណោល-អាស៊ីមុត
ចំតិតចំតូង	ចំតិត-ចំតូង
ចំទយតែស៊ី	ចំទយ-តែ-ស៊ី
ចំទាស់	ចំ-ទាស់
ចំទាំង	ចំ-ទាំង
ចំទើសចំទែង	ចំទើស-ចំទែង
ចំនួនកុំផ្លិច	ចំនួន-កុំផ្លិច
ចំនួនកុំផ្លិចឆ្លាស់	ចំនួនកុំផ្លិច-ឆ្លាស់
ចំនួនគត់	ចំនួន-គត់
ចំនួនគត់គូ	ចំនួនគត់-គូ
ចំនួនគត់ធម្មជាតិ	ចំនួនគត់-ធម្មជាតិ
ចំនួនគត់សេស	ចំនួនគត់-សេស
ចំនួនទសភាគ	ចំនួន-ទសភាគ
ចំនួននិម្មិត	ចំនួន-និម្មិត
ចំនួនបឋម	ចំនួន-បឋម
ចំនួនពិត	ចំនួន-ពិត
ចំនួនពីជគណិត	ចំនួន-ពីជគណិត
ចំនួនភាគរយ	ចំនួន-ភាគរយ
ចំនួនសនិទាន	ចំនួន-សនិទាន
ចំនួនអសនិទាន	ចំនួន-អសនិទាន
ចំបាប់	ចំ-បាប់
ចំប៉ីទេស	ចំប៉ី-ទេស
ចំប្រាវ	ចំ-ប្រាវ
ចំពប់សម្ដី	ចំពប់-សម្ដី
ចំពាក់	ចំ-ពាក់
ចំពាក់ចាក់ស្រែះ	ចំពាក់-ចាក់ស្រែះ
ចំពាស់	ចំ-ពាស់
ចំពុះទា	ចំពុះ-ទា
ចំពុះទុង	ចំពុះ-ទុង
ចំពោះកិច្ច	ចំពោះ-កិច្ច
ចំពោះតែ	ចំពោះ-តែ
ចំពោះមុខ	ចំពោះ-មុខ
ចំហាយទឹក	ចំហាយ-ទឹក
ចំហាយអាកាស	ចំហាយ-អាកាស
ចំឡៅក្អែក	ចំឡៅ-ក្អែក
ចំអកចំអន់	ចំអក-ចំអន់
ចំអក្ខរៈ	ចំ-អក្ខរៈ
ចំអាសចំអូង	ចំអាស-ចំអូង
ចំអៀកចំអែ	ចំអៀក-ចំអែ
ចំអេសចំអាស	ចំ-អេ-ស-ចំអាស
ចំអែចំអន់	ចំអែ-ចំអន់
ច្នៃប្រឌិត	ច្នៃ-ប្រឌិត
ច្បាប់ក្រម	ច្បាប់-ក្រម
ច្បាប់វិជ្ជមាន	ច្បាប់-វិជ្ជមាន
ច្បាស់ច្បង	ច្បាស់-ច្បង
ច្បាស់លាស់	ច្បាស់-លាស់
ច្បាស់លះ	ច្បាស់-លះ
ច្បិចច្បើម	ច្បិច-ច្បើម
ច្បោលៗ	ច្បោល-ៗ
ច្រកបែងចែក	ច្រក-បែងចែក
ច្រកព្រំដែន	ច្រក-ព្រំដែន
ច្រករហក	ច្រក-រហក
ច្រកអាសន្ន	ច្រក-អាសន្ន
ច្រកែងទួយ	ច្រកែង-ទួយ
ច្រក់ៗ	ច្រក់-ៗ
ច្រគីងច្រគាង	ច្រគីង-ច្រគាង
ច្រងាប់ច្រងិល	ច្រងាប់-ច្រងិល
ច្រងេងច្រងាង	ច្រងេង-ច្រងាង
ច្រត់នង្គ័ល	ច្រត់-នង្គ័ល
ច្របាច់ច្របល់	ច្របាច់-ច្របល់
ច្របូកច្របល់	ច្របូក-ច្របល់
ច្រប់ៗ	ច្រប់-ៗ
ច្រមុះក្ងិត	ច្រមុះ-ក្ងិត
ច្រមុះរឹង	ច្រមុះ-រឹង
ច្រមុះអន្ទង់	ច្រមុះ-អន្ទង់
ច្រវាប	ច្រវា-ប
ច្រឡូកច្រឡំ	ច្រឡូក-ច្រឡំ
ច្រឡើសបើស	ច្រឡើស-បើ-ស
ច្រឡោងខាម	ច្រឡោង-ខាម
ច្រឡោត	ច្រឡោ-ត
ច្រឡោះបោះ	ច្រឡោះ-បោះ
ច្រឡំច្រឡូក	ច្រឡំ-ច្រឡូក
ច្រឡំបល់	ច្រឡំ-បល់
ច្រានចោល	ច្រាន-ចោល
ច្រាសច្រំ	ច្រាស-ច្រំ
ច្រាសដុសធ្មេញ	ច្រាស-ដុសធ្មេញ
ច្រាស់ច្រាល់	ច្រាស់-ច្រាល់
ច្រិចៗ	ច្រិច-ៗ
ច្រិមច្រុម	ច្រិម-ច្រុម
ច្រឹកៗ	ច្រឹក-ៗ
ច្រុបៗ	ច្រុប-ៗ
ច្រុមៗ	ច្រុម-ៗ
ច្រុំៗ	ច្រុំ-ៗ
ច្រូងច្រាង	ច្រូង-ច្រាង
ច្រូតកាត់	ច្រូត-កាត់
ច្រូតសក់	ច្រូត-សក់
ច្រើនតែ	ច្រើន-តែ
ច្រើនប្រការ	ច្រើន-ប្រការ
ច្រើនមុខ	ច្រើន-មុខ
ច្រៀងរាំ	ច្រៀង-រាំ
ច្រេចៗ	ច្រេច-ៗ
ច្រែតៗ	ច្រែត-ៗ
ច្រំដែល	ច្រំ-ដែល
ឆកល្វែង	ឆក-ល្វែង
ឆកាមាវចរ	ឆ-កាមាវចរ
ឆកាមាវចរសួគ៌	ឆកាមាវចរ-សួគ៌
ឆកោណនិយ័ត	ឆកោណ-និយ័ត
ឆក់កណ្ដៀត	ឆក់-កណ្ដៀត
ឆក់ជីវិត	ឆក់-ជីវិត
ឆក់ឱកាស	ឆក់-ឱកាស
ឆក្សត្រ	ឆ-ក្សត្រ
ឆក្សត្រិយ៍	ឆ-ក្សត្រិយ៍
ឆត្រយោង	ឆត្រ-យោង
ឆត្ររួត	ឆត្រ-រួត
ឆទានសាលា	ឆ-ទានសាលា
ឆទ្វារ	ឆ-ទ្វារ
ឆន្ទមិត្រ	ឆន្ទ-មិត្រ
ឆន្ទវិទ្យា	ឆន្ទ-វិទ្យា
ឆន្ទវុត្តិប្បទីប	ឆន្ទ-វុត្តិ-ប្ប-ទីប
ឆន្ទសាស្ត្រ	ឆន្ទ-សាស្ត្រ
ឆន្ទាគតិ	ឆន្ទា-គតិ
ឆន្នបុប្ផាណ្ឌជាតិ	ឆ-ន្ន-បុប្ផាណ្ឌ-ជាតិ
ឆន្នអាមាត្យ	ឆ-ន្ន-អាមាត្យ
ឆព្វណ្ណរង្សី	ឆព្វណ្ណ-រង្សី
ឆវកិច្ច	ឆវ-កិច្ច
ឆវគ្រឹះ	ឆវ-គ្រឹះ
ឆវទាហិក	ឆវ-ទា-ហិ-ក
ឆវទាហិកា	ឆវ-ទា-ហិ-កា
ឆវមន្ទីរ	ឆវ-មន្ទីរ
ឆវវាហៈ	ឆវ-វាហៈ
ឆវីរោគ	ឆវី-រោគ
ឆវីវណ្ណ	ឆវី-វណ្ណ
ឆាក្ដៅ	ឆា-ក្ដៅ
ឆាខ្វៃ	ឆា-ខ្វៃ
ឆាឆាឆា	ឆា-ឆា-ឆា
ឆាតកទុក្ខ	ឆាតក-ទុក្ខ
ឆាតកភ័យ	ឆាតក-ភ័យ
ឆាតករោគ	ឆាតក-រោគ
ឆាតកាល	ឆាត-កាល
ឆាបឆួល	ឆាប-ឆួល
ឆាបឆេះ	ឆាប-ឆេះ
ឆាយាធរ	ឆាយា-ធរ
ឆាយាបថ	ឆាយា-បថ
ឆាយាភ្រឹត	ឆាយា-ភ្រឹត
ឆាយាមិត្រ	ឆាយា-មិត្រ
ឆាយាល័ក្ខណ៍	ឆាយា-ល័ក្ខណ៍
ឆាយាវិត្រ	ឆាយា-វិ-ត្រ
ឆុងឆាំង	ឆុង-ឆាំង
ឆុរឆេវ	ឆុរ-ឆេវ
ឆុរឆេះ	ឆុរ-ឆេះ
ឆើតឆាយ	ឆើត-ឆាយ
ឆើតឆោម	ឆើត-ឆោម
ឆេងម៉េង	ឆេង-ម៉េ-ង
ឆេទនភាព	ឆេ-ទ-ន-ភាព
ឆេវឆាវ	ឆេវ-ឆាវ
ឆែកឆេរ	ឆែក-ឆេរ
ឆែបឆួង	ឆែប-ឆួង
ឆែបមាត់	ឆែប-មាត់
ឆោតល្ងង់	ឆោត-ល្ងង់
ឆោមឆាយ	ឆោម-ឆាយ
ឆោមឆ្លៅ	ឆោម-ឆ្លៅ
ឆោមយង់	ឆោម-យង់
ឆោមស្រី	ឆោម-ស្រី
ឆ្ការដៃ	ឆ្ការ-ដៃ
ឆ្កឹះឆ្កៀល	ឆ្កឹះ-ឆ្កៀល
ឆ្កួត!	ឆ្កួត-!
ឆ្កួតកញ្ឆា	ឆ្កួត-កញ្ឆា
ឆ្កួតកាម	ឆ្កួត-កាម
ឆ្កួតចិត្ត	ឆ្កួត-ចិត្ត
ឆ្កួតជ្រូក	ឆ្កួត-ជ្រូក
ឆ្កួតទឹកមាត់	ឆ្កួត-ទឹកមាត់
ឆ្កួតមាត់	ឆ្កួត-មាត់
ឆ្កួតយស	ឆ្កួត-យស
ឆ្កួតលេលា	ឆ្កួត-លេលា
ឆ្កួតល្បែង	ឆ្កួត-ល្បែង
ឆ្កួតសព្ទ	ឆ្កួត-សព្ទ
ឆ្កួតស្រា	ឆ្កួត-ស្រា
ឆ្កួតស្រី	ឆ្កួត-ស្រី
ឆ្កួតស្លាក់	ឆ្កួត-ស្លាក់
ឆ្កៀសមិនឡើង	ឆ្កៀស-មិន-ឡើង
ឆ្កែញាំង	ឆ្កែ-ញាំង
ឆ្កែព្រុសមិនដែលខាំ	ឆ្កែ-ព្រុស-មិន-ដែល-ខាំ
ឆ្កែព្រៃ	ឆ្កែ-ព្រៃ
ឆ្កែស្រែង	ឆ្កែ-ស្រែង
ឆ្ងក់ៗ	ឆ្ងក់-ៗ
ឆ្ងាញ់ជាប់មាត់	ឆ្ងាញ់-ជាប់មាត់
ឆ្ងាញ់មាត់	ឆ្ងាញ់-មាត់
ឆ្ងាយដាច់អាល័យ	ឆ្ងាយ-ដាច់អាល័យ
ឆ្ងិតឈ្ងុយ	ឆ្ងិត-ឈ្ងុយ
ឆ្ងើកៗ	ឆ្ងើក-ៗ
ឆ្ងែឆ្ងល់	ឆ្ងែ-ឆ្ងល់
ឆ្នាប់មាត់	ឆ្នាប់-មាត់
ឆ្នាល់មាន់	ឆ្នាល់-មាន់
ឆ្នាំង	ឆ្នាំ-ង
ឆ្នាំងដី	ឆ្នាំង-ដី
ឆ្នាំងបាយអគ្គិសនី	ឆ្នាំងបាយ-អគ្គិសនី
ឆ្នាំងភ្លើង	ឆ្នាំង-ភ្លើង
ឆ្នាំងរបួល	ឆ្នាំង-របួល
ឆ្នាំងរួស	ឆ្នាំង-រួស
ឆ្នាំងសាក	ឆ្នាំង-សាក
ឆ្នាំងអ៊ុត	ឆ្នាំង-អ៊ុត
ឆ្នាំតារាគតិ	ឆ្នាំ-តារា-គតិ
ឆ្នាំត្រូពិក	ឆ្នាំ-ត្រូពិក
ឆ្នាំទៅ	ឆ្នាំ-ទៅ
ឆ្នាំទៅមួយ	ឆ្នាំ-ទៅ-មួយ
ឆ្នាំទៅមួយនាយ	ឆ្នាំទៅមួយ-នាយ
ឆ្នាំនេះកណ្ដៀវសោយរាជ្យហើយ	ឆ្នាំ-នេះ-កណ្ដៀវសោយរាជ្យ-ហើយ
ឆ្នាំបង្គ្រប់	ឆ្នាំ-បង្គ្រប់
ឆ្នាំប្រតិទិន	ឆ្នាំ-ប្រតិទិន
ឆ្នាំភាគទាន	ឆ្នាំ-ភាគទាន
ឆ្នាំភ្នែក	ឆ្នាំ-ភ្នែក
ឆ្នាំសារពើពន្ធ	ឆ្នាំ-សារពើពន្ធ
ឆ្នាំសិក្សា	ឆ្នាំ-សិក្សា
ឆ្នាំសុរិយគតិ	ឆ្នាំ-សុរិយគតិ
ឆ្នាំស៊ីវិល	ឆ្នាំ-ស៊ីវិល
ឆ្នុកក្បិន	ឆ្នុក-ក្បិន
ឆ្នូតកម្ពស់	ឆ្នូត-កម្ពស់
ឆ្នេរល្បាក់	ឆ្នេរ-ល្បាក់
ឆ្នោតវត្ថុ	ឆ្នោត-វត្ថុ
ឆ្មបបុរាណ	ឆ្មប-បុរាណ
ឆ្មាដាវ	ឆ្មា-ដាវ
ឆ្មាបង់សំណាញ់	ឆ្មា-បង់សំណាញ់
ឆ្មាបា	ឆ្មា-បា
ឆ្មាមិននៅកណ្ដុរឡើងរាជ្យ	ឆ្មា-មិន-នៅ-កណ្ដុរ-ឡើងរាជ្យ
ឆ្មាសម្បុរបី	ឆ្មា-សម្បុរ-បី
ឆ្មាំគុក	ឆ្មាំ-គុក
ឆ្មាំទ្វារ	ឆ្មាំ-ទ្វារ
ឆ្មាំព្រៃ	ឆ្មាំ-ព្រៃ
ឆ្មើងកន្ទ្រើង	ឆ្មើង-កន្ទ្រើង
ឆ្មើងកំអួក	ឆ្មើង-កំអួក
ឆ្មើងឆ្មៃ	ឆ្មើង-ឆ្មៃ
ឆ្លងកាត់	ឆ្លង-កាត់
ឆ្លងទន្លេ	ឆ្លង-ទន្លេ
ឆ្លងព្រះបាទ	ឆ្លង-ព្រះបាទ
ឆ្លុះបញ្ចាំង	ឆ្លុះ-បញ្ចាំង
ឆ្លូកស្រូវ	ឆ្លូក-ស្រូវ
ឆ្លើយកាត់	ឆ្លើយ-កាត់
ឆ្លើយឆ្លង	ឆ្លើយ-ឆ្លង
ឆ្លើយប៉ែះៗ	ឆ្លើយប៉ែះ-ៗ
ឆ្លៀតឱកាស	ឆ្លៀត-ឱកាស
ឆ្លៀវឆ្លាត	ឆ្លៀវ-ឆ្លាត
ឆ្លៀវឆ្លាស	ឆ្លៀវ-ឆ្លាស
ឆ្វាត់ឆ្វៀល	ឆ្វាត់-ឆ្វៀល
ឆ្វាត់ឆ្វែង	ឆ្វាត់-ឆ្វែង
ឆ្វាយដៃឆ្វាយជើង	ឆ្វាយដៃ-ឆ្វាយជើង
ឆ្វាយរង្វេល	ឆ្វាយ-រង្វេល
ឆ្វៀលឆ្វាត់	ឆ្វៀល-ឆ្វាត់
ឆ្វេងដៃ	ឆ្វេង-ដៃ
ឆ្វេងនិយម	ឆ្វេង-និយម
ឆ្អាបមាត់	ឆ្អាប-មាត់
ឆ្អិនឆ្អៅ	ឆ្អិន-ឆ្អៅ
ឆ្អឹងខ្នង	ឆ្អឹង-ខ្នង
ឆ្អឹងជំនីរ	ឆ្អឹងជំនី-រ
ឆ្អឹងដែក	ឆ្អឹង-ដែក
ឆ្អឹងរឹត	ឆ្អឹង-រឹត
ឆ្អឹងសន្លាក់	ឆ្អឹង-សន្លាក់
ឆ្អែតចិត្ត	ឆ្អែត-ចិត្ត
ឆ្អែតឆ្អន់	ឆ្អែត-ឆ្អន់
ឆ្អែតឆ្អល់	ឆ្អែត-ឆ្អល់
ជក់ខ្យល់	ជក់-ខ្យល់
ជក់ចិត្ត	ជក់-ចិត្ត
ជក់ភ្នែក	ជក់-ភ្នែក
ជក់មាត់	ជក់-មាត់
ជក់អារម្មណ៍	ជក់-អារម្មណ៍
ជង្ឃមគ្គ	ជង្ឃ-មគ្គ
ជង្ឃមាគា៌	ជង្ឃ-មាគា៌
ជច់មុខ	ជច់-មុខ
ជជុះជជាយ	ជជុះ-ជជាយ
ជជួរជជាយ	ជជួរ-ជជាយ
ជជែកគ្នាប៉ែ	ជជែក-គ្នាប៉ែ
ជជែកបែកផ្សែង	ជជែក-បែកផ្សែង
ជជ្រកមមក	ជ-ជ្រកមមក
ជជ្រុលជជ្រក	ជជ្រុល-ជជ្រក
