កករចិត្ត	កករ-ចិត្ត
កតញ្ញុតាធម៌	កតញ្ញុតា-ធម៌
កតវេទិតា	កត-វេ-ទិ-តា
កតវេទិនី	កត-វេទិនី
កតវេទី	កត-វេទី
កតាវសាន	ក-តា-វ-សាន
កតិកាភេទ	កតិកា-ភេទ
កតិកាសញ្ញា	កតិកា-សញ្ញា
កតូបការៈ	ក-តូ-បការៈ
កត្តិក	ក-ត្តិ-ក
កថាខណ្ឌ	កថា-ខណ្ឌ
កថាបរិយោសាន	កថា-បរិយោសាន
កថាភាគ	កថា-ភាគ
កថាមគ្គ	កថា-មគ្គ
កថាមុខ	កថា-មុខ
កថាវត្ថុ	កថា-វត្ថុ
កថាវសាន	កថា-វ-សាន
កថាសល្លាប	កថា-សល្លាប
កនិដ្ឋភាគិនេយ្យ	កនិដ្ឋ-ភាគិនេយ្យ
កនិដ្ឋភាតា	កនិដ្ឋ-ភាតា
កន្តរ៉	កន្ត-រ៉
កន្តាញ	កន្តា-ញ
កន្តារ	កន្តា-រ
កន្តារទ្ធា	កន្តា-រទ្ធា
កន្តាវរ៉ាវ	កន្តា-វ-រ៉ាវ
កន្តិញកន្តុញ	កន្តិញ-កន្តុញ
កន្តុលឪ	កន្តុល-ឪ
កន្តូឡេត	កន្តូ-ឡេ-ត
កន្ត្រក	កន្ត្រ-ក
កន្ត្រង	កន្ត្រ-ង
កន្ត្រងប្រេង	កន្ត្រង-ប្រេង
កន្ត្រាក់សាច់ដុំ	កន្ត្រាក់-សាច់ដុំ
កន្ត្រេកកន្ត្រាក	កន្ត្រេក-កន្ត្រាក
កន្ត្រែង	កន្ត្រែ-ង
កន្ថោរ	កន្ថោ-រ
កន្ទក់អង្កាន់	កន្ទក់-អង្កាន់
កន្ទន់បាក់ក	កន្ទន់-បាក់-ក
កន្ទាទូក	កន្ទា-ទូក
កន្ទាលត្រអាក	កន្ទា-ល-ត្រ-អា-ក
កន្ទាំងបាយស	កន្ទាំង-បាយស
កន្ទាំងហែ	កន្ទាំង-ហែ
កន្ទាំមីង	កន្ទាំ-មីង
កន្ទីងរីង	កន្ទី-ង-រីង
កន្ទុយក្រពើ	កន្ទុយ-ក្រពើ
កន្ទុយចចក	កន្ទុយ-ចចក
កន្ទុយឆ្កែ	កន្ទុយ-ឆ្កែ
កន្ទុយដំរី	កន្ទុយ-ដំរី
កន្ទុយថ្លែន	កន្ទុយ-ថ្លែន
កន្ទុយប្រា	កន្ទុយ-ប្រា
កន្ទុយភ្នែក	កន្ទុយ-ភ្នែក
កន្ទុយលឹន	កន្ទុយ-លឹន
កន្ទុយលេខ	កន្ទុយ-លេខ
កន្ទុយអណ្ដើក	កន្ទុយ-អណ្ដើក
កន្ទុយឧស	កន្ទុយ-ឧស
កន្ទួតប្រោង	កន្ទួត-ប្រោង
កន្ទួតព្រៃ	កន្ទួត-ព្រៃ
កន្ទេលផែង	កន្ទេល-ផែង
កន្ទោងចុងស្លឹក	កន្ទោង-ចុង-ស្លឹក
កន្ទោងបាយដារ	កន្ទោង-បាយ-ដារ
កន្ទ្រោកដំរី	កន្ទ្រោក-ដំរី
កន្ធាញ	កន្ធា-ញ
កន្ធាយ	កន្ធា-យ
កន្ធំថេត	កន្ធំ-ថេ-ត
កន្លងខ្នប់	កន្លង-ខ្នប់
កន្លងភ្នំ	កន្លង-ភ្នំ
កន្លងអរុណ	កន្លង-អរុណ
កន្លើតចក	កន្លើត-ចក
កន្លេងកន្លាញ់	កន្លេង-កន្លាញ់
កន្លះប្លង់	កន្លះ-ប្លង់
កន្សែងដៃ	កន្សែង-ដៃ
កន្សែងពោះគោ	កន្សែង-ពោះគោ
កន្សែងយ័ន្ត	កន្សែង-យ័ន្ត
កន្សែងរុំក	កន្សែង-រុំ-ក
កន្សែងស្រស់	កន្សែង-ស្រស់
កន្សៃសារពេជ្ញ	កន្សៃ-សារពេជ្ញ
កន្សោមតាឱ	កន្សោម-តាឱ
កន្សោមពង	កន្សោម-ពង
កន្សោមពាក្យ	កន្សោម-ពាក្យ
កន្សោមពីជគណិត	កន្សោម-ពីជគណិត
កន្សោមស្អិត	កន្សោម-ស្អិត
កន្សោមអាទិភាព	កន្សោម-អាទិភាព
កបិចិត្ត	កបិ-ចិត្ត
កបិលមហាព្រហ្ម	កបិល-មហាព្រហ្ម
កបិលវត្ថុ	កបិល-វត្ថុ
កបោតបក្សី	ក-បោ-ត-បក្សី
កប៉ាល់	ក-ប៉ាល់
កប៉ាល់ភ្លើង	កប៉ាល់-ភ្លើង
កប៉ាល់ហោះ	កប៉ាល់-ហោះ
កប់ច្បាក់	កប់-ច្បាក់
កប់ដើម	កប់-ដើម
កប់ពពក	កប់-ពពក
កប់ពពកជ្រកអាចម៍ជន្លេន	កប់ពពក-ជ្រក-អាចម៍-ជន្លេន
កប់យោបល់	កប់-យោបល់
កប្បព្រឹក្ស	កប្ប-ព្រឹក្ស
កពូនសម្បត្តិ	ក-ពូន-សម្បត្តិ
កម្ចីសម្បទាន	កម្ចី-សម្បទាន
កម្ជិលអៀនប្រៀន	កម្ជិល-អៀនប្រៀន
កម្ដៅសាច់ដុំ	កម្ដៅ-សាច់ដុំ
កម្ទេចកំណ	កម្ទេច-កំណ
កម្ទេចមាស	កម្ទេច-មាស
កម្ពស់ទឹកភ្លៀង	កម្ពស់-ទឹកភ្លៀង
កម្ពុជ	កម្ពុ-ជ
កម្ពុជប្រទេស	កម្ពុជ-ប្រទេស
កម្ពុជមិត្រ	កម្ពុជ-មិត្រ
កម្ពុជរដ្ឋ	កម្ពុជ-រដ្ឋ
កម្ពុជា	កម្ពុ-ជា
កម្ពុជ—	កម្ពុជ-—
កម្ពុមាលា	កម្ពុ-មាលា
កម្ពុម័យ	កម្ពុ-ម័យ
កម្មករ	កម្ម-ករ
កម្មករជំនាញ	កម្មករ-ជំនាញ
កម្មករនិយោជិត	កម្មករ-និយោជិត
កម្មករបណ្ដែត	កម្មករ-បណ្ដែត
កម្មការ	កម្ម-ការ
កម្មការិនី	កម្ម-ការិនី
កម្មការី	កម្ម-ការី
កម្មដ្ឋាន	កម្ម-ដ្ឋាន
កម្មទេសកាល	កម្ម-ទេសកាល
កម្មន្តរាយ	កម្មន្ត-រាយ
កម្មន្តសាល	កម្មន្ត-សាល
កម្មបថ	កម្ម-បថ
កម្មបទ	កម្ម-បទ
កម្មបលិពោធ	កម្ម-បលិពោធ
កម្មផល	កម្ម-ផល
កម្មពៀរ	កម្ម-ពៀរ
កម្មភាព	កម្ម-ភាព
កម្មភ្នាក់ងារ	កម្ម-ភ្នាក់ងារ
កម្មវត្ថុ	កម្ម-វត្ថុ
កម្មវាចក	កម្ម-វាចក
កម្មវាចា	កម្ម-វាចា
កម្មវាចាចារ្យ	កម្ម-វាចាចារ្យ
កម្មវិធី	កម្ម-វិធី
កម្មវិធីសិក្សា	កម្មវិធី-សិក្សា
កម្មវិបាក	កម្ម-វិបាក
កម្មវិស័យភាព	កម្មវិស័យ-ភាព
កម្មសិក្សា	កម្ម-សិក្សា
កម្មសិក្សាការិនី	កម្មសិក្សា-ការិនី
កម្មសិក្សាការី	កម្មសិក្សា-ការី
កម្មសិទ្ធិ	កម្ម-សិទ្ធិ
កម្មសិទ្ធិករ	កម្មសិទ្ធិ-ករ
